"DATE","TIME PERIOD","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)"
"2022-04-29","29 Apr 2022","32825"
"2022-05-02","02 May 2022","37633"
"2022-05-03","03 May 2022","42286"
"2022-05-04","04 May 2022","54230"
"2022-05-05","05 May 2022","53671"
"2022-05-06","06 May 2022","50704"
"2022-05-09","09 May 2022","50849"
"2022-05-10","10 May 2022","49803"
"2022-05-11","11 May 2022","50222"
"2022-05-12","12 May 2022","51681"
"2022-05-13","13 May 2022","50090"
"2022-05-16","16 May 2022","50348"
"2022-05-17","17 May 2022","50165"
"2022-05-18","18 May 2022","52370"
"2022-05-19","19 May 2022","52549"
"2022-05-20","20 May 2022","51990"
"2022-05-23","23 May 2022","50977"
"2022-05-24","24 May 2022","48403"
"2022-05-25","25 May 2022","37427"
"2022-05-26","26 May 2022","30811"
"2022-05-27","27 May 2022","50882"
"2022-05-30","30 May 2022","52570"
"2022-05-31","31 May 2022","46639"
"2022-06-01","01 Jun 2022","42701"
"2022-06-02","02 Jun 2022","43042"
"2022-06-03","03 Jun 2022","30981"
"2022-06-06","06 Jun 2022","33909"
"2022-06-07","07 Jun 2022","52531"
"2022-06-08","08 Jun 2022","52783"
"2022-06-09","09 Jun 2022","54342"
"2022-06-10","10 Jun 2022","52937"
"2022-06-13","13 Jun 2022","53122"
"2022-06-14","14 Jun 2022","54692"
"2022-06-15","15 Jun 2022","41842"
"2022-06-16","16 Jun 2022","35547"
"2022-06-17","17 Jun 2022","52402"
"2022-06-20","20 Jun 2022","54669"
"2022-06-21","21 Jun 2022","54285"
"2022-06-22","22 Jun 2022","49124"
"2022-06-23","23 Jun 2022","46555"
"2022-06-24","24 Jun 2022","46271"
"2022-06-27","27 Jun 2022","49738"
"2022-06-28","28 Jun 2022","49215"
"2022-06-29","29 Jun 2022","45127"
"2022-06-30","30 Jun 2022","43590"
"2022-07-01","01 Jul 2022","53342"
"2022-07-04","04 Jul 2022","61578"
"2022-07-05","05 Jul 2022","57639"
"2022-07-06","06 Jul 2022","56374"
"2022-07-07","07 Jul 2022","55287"
"2022-07-08","08 Jul 2022","52226"
"2022-07-11","11 Jul 2022","55865"
"2022-07-12","12 Jul 2022","53209"
"2022-07-13","13 Jul 2022","52524"
"2022-07-14","14 Jul 2022","53633"
"2022-07-15","15 Jul 2022","56918"
"2022-07-18","18 Jul 2022","58518"
"2022-07-19","19 Jul 2022","57407"
"2022-07-20","20 Jul 2022","56812"
"2022-07-21","21 Jul 2022","57875"
"2022-07-22","22 Jul 2022","59491"
"2022-07-25","25 Jul 2022","63203"
"2022-07-26","26 Jul 2022","64954"
"2022-07-27","27 Jul 2022","57526"
"2022-07-28","28 Jul 2022","56028"
"2022-07-29","29 Jul 2022","56544"
"2022-08-01","01 Aug 2022","61402"
"2022-08-02","02 Aug 2022","62019"
"2022-08-03","03 Aug 2022","59914"
"2022-08-04","04 Aug 2022","57966"
"2022-08-05","05 Aug 2022","57294"
"2022-08-08","08 Aug 2022","55066"
"2022-08-09","09 Aug 2022","57449"
"2022-08-10","10 Aug 2022","56145"
"2022-08-11","11 Aug 2022","54669"
"2022-08-12","12 Aug 2022","43872"
"2022-08-15","15 Aug 2022","45407"
"2022-08-16","16 Aug 2022","57939"
"2022-08-17","17 Aug 2022","56364"
"2022-08-18","18 Aug 2022","53819"
"2022-08-19","19 Aug 2022","52193"
"2022-08-22","22 Aug 2022","50308"
"2022-08-23","23 Aug 2022","47921"
"2022-08-24","24 Aug 2022","46904"
"2022-08-25","25 Aug 2022","45309"
"2022-08-26","26 Aug 2022","42493"
"2022-08-29","29 Aug 2022","41119"
"2022-08-30","30 Aug 2022","47754"
"2022-08-31","31 Aug 2022","46032"
"2022-09-01","01 Sep 2022","48239"
"2022-09-02","02 Sep 2022","49689"
"2022-09-05","05 Sep 2022","53309"
"2022-09-06","06 Sep 2022","52441"
"2022-09-07","07 Sep 2022","57506"
"2022-09-08","08 Sep 2022","56029"
"2022-09-09","09 Sep 2022","61967"
"2022-09-12","12 Sep 2022","64826"
"2022-09-13","13 Sep 2022","72736"
"2022-09-14","14 Sep 2022","80024"
"2022-09-15","15 Sep 2022","78908"
"2022-09-16","16 Sep 2022","68082"
"2022-09-19","19 Sep 2022","64024"
"2022-09-20","20 Sep 2022","69100"
"2022-09-21","21 Sep 2022","61597"
"2022-09-22","22 Sep 2022","59724"
"2022-09-23","23 Sep 2022","64010"
"2022-09-26","26 Sep 2022","62851"
"2022-09-27","27 Sep 2022","57680"
"2022-09-28","28 Sep 2022","51093"
"2022-09-29","29 Sep 2022","50732"
"2022-09-30","30 Sep 2022","35544"
"2022-10-03","03 Oct 2022","51661"
"2022-10-04","04 Oct 2022","68294"
"2022-10-05","05 Oct 2022","63955"
"2022-10-06","06 Oct 2022","71592"
"2022-10-07","07 Oct 2022","70327"
"2022-10-10","10 Oct 2022","67345"
"2022-10-11","11 Oct 2022","61477"
"2022-10-12","12 Oct 2022","62435"
"2022-10-13","13 Oct 2022","62243"
"2022-10-14","14 Oct 2022","62530"
"2022-10-17","17 Oct 2022","62853"
"2022-10-18","18 Oct 2022","66734"
"2022-10-19","19 Oct 2022","69700"
"2022-10-20","20 Oct 2022","69925"
"2022-10-21","21 Oct 2022","67191"
"2022-10-24","24 Oct 2022","63885"
"2022-10-25","25 Oct 2022","72486"
"2022-10-26","26 Oct 2022","71262"
"2022-10-27","27 Oct 2022","70656"
"2022-10-28","28 Oct 2022","63620"
"2022-10-31","31 Oct 2022","48467"
"2022-11-01","01 Nov 2022","63619"
"2022-11-02","02 Nov 2022","78196"
"2022-11-03","03 Nov 2022","75612"
"2022-11-04","04 Nov 2022","68043"
"2022-11-07","07 Nov 2022","74250"
"2022-11-08","08 Nov 2022","72832"
"2022-11-09","09 Nov 2022","73232"
"2022-11-10","10 Nov 2022","64502"
"2022-11-11","11 Nov 2022","64567"
"2022-11-14","14 Nov 2022","73688"
"2022-11-15","15 Nov 2022","73863"
"2022-11-16","16 Nov 2022","72887"
"2022-11-17","17 Nov 2022","74283"
"2022-11-18","18 Nov 2022","71998"
"2022-11-21","21 Nov 2022","71755"
"2022-11-22","22 Nov 2022","69424"
"2022-11-23","23 Nov 2022","69635"
"2022-11-24","24 Nov 2022","67439"
"2022-11-25","25 Nov 2022","65891"
"2022-11-28","28 Nov 2022","66497"
"2022-11-29","29 Nov 2022","62328"
"2022-11-30","30 Nov 2022","55636"
"2022-12-01","01 Dec 2022","63638"
"2022-12-02","02 Dec 2022","67719"
"2022-12-05","05 Dec 2022","70191"
"2022-12-06","06 Dec 2022","68140"
"2022-12-07","07 Dec 2022","68340"
"2022-12-08","08 Dec 2022","64211"
"2022-12-09","09 Dec 2022","61136"
"2022-12-12","12 Dec 2022","59004"
"2022-12-13","13 Dec 2022","59597"
"2022-12-14","14 Dec 2022","57818"
"2022-12-15","15 Dec 2022","56994"
"2022-12-16","16 Dec 2022","51586"
"2022-12-19","19 Dec 2022","58519"
"2022-12-20","20 Dec 2022","55299"
"2022-12-21","21 Dec 2022","53779"
"2022-12-22","22 Dec 2022","50329"
"2022-12-23","23 Dec 2022","37171"
"2022-12-27","27 Dec 2022","37751"
"2022-12-28","28 Dec 2022","47358"
"2022-12-29","29 Dec 2022","48172"
"2022-12-30","30 Dec 2022","21896"
"2023-01-02","02 Jan 2023","40569"
"2023-01-03","03 Jan 2023","60166"
"2023-01-04","04 Jan 2023","62554"
"2023-01-05","05 Jan 2023","58241"
"2023-01-06","06 Jan 2023","62072"
"2023-01-09","09 Jan 2023","72425"
"2023-01-10","10 Jan 2023","69464"
"2023-01-11","11 Jan 2023","68342"
"2023-01-12","12 Jan 2023","69054"
"2023-01-13","13 Jan 2023","66842"
"2023-01-16","16 Jan 2023","70073"
"2023-01-17","17 Jan 2023","63933"
"2023-01-18","18 Jan 2023","63490"
"2023-01-19","19 Jan 2023","61793"
"2023-01-20","20 Jan 2023","61136"
"2023-01-23","23 Jan 2023","61119"
"2023-01-24","24 Jan 2023","59356"
"2023-01-25","25 Jan 2023","54724"
"2023-01-26","26 Jan 2023","55101"
"2023-01-27","27 Jan 2023","55529"
"2023-01-30","30 Jan 2023","56238"
"2023-01-31","31 Jan 2023","53564"
"2023-02-01","01 Feb 2023","61389"
"2023-02-02","02 Feb 2023","62016"
"2023-02-03","03 Feb 2023","60604"
"2023-02-06","06 Feb 2023","62633"
"2023-02-07","07 Feb 2023","65486"
"2023-02-08","08 Feb 2023","67762"
"2023-02-09","09 Feb 2023","63901"
"2023-02-10","10 Feb 2023","62565"
"2023-02-13","13 Feb 2023","64095"
"2023-02-14","14 Feb 2023","66769"
"2023-02-15","15 Feb 2023","64905"
"2023-02-16","16 Feb 2023","60913"
"2023-02-17","17 Feb 2023","61164"
"2023-02-20","20 Feb 2023","61509"
"2023-02-21","21 Feb 2023","62118"
"2023-02-22","22 Feb 2023","62883"
"2023-02-23","23 Feb 2023","59267"
"2023-02-24","24 Feb 2023","58604"
"2023-02-27","27 Feb 2023","56732"
"2023-02-28","28 Feb 2023","52766"
"2023-03-01","01 Mar 2023","56327"
"2023-03-02","02 Mar 2023","57449"
"2023-03-03","03 Mar 2023","58001"
"2023-03-06","06 Mar 2023","65445"
"2023-03-07","07 Mar 2023","65310"
"2023-03-08","08 Mar 2023","62619"
"2023-03-09","09 Mar 2023","65684"
"2023-03-10","10 Mar 2023","61813"
"2023-03-13","13 Mar 2023","68690"
"2023-03-14","14 Mar 2023","65706"
"2023-03-15","15 Mar 2023","60261"
"2023-03-16","16 Mar 2023","65800"
"2023-03-17","17 Mar 2023","63966"
"2023-03-20","20 Mar 2023","71668"
"2023-03-21","21 Mar 2023","72609"
"2023-03-22","22 Mar 2023","73949"
"2023-03-23","23 Mar 2023","66025"
"2023-03-24","24 Mar 2023","63790"
"2023-03-27","27 Mar 2023","58900"
"2023-03-28","28 Mar 2023","62061"
"2023-03-29","29 Mar 2023","58622"
"2023-03-30","30 Mar 2023","55196"
"2023-03-31","31 Mar 2023","52387"
"2023-04-03","03 Apr 2023","58854"
"2023-04-04","04 Apr 2023","62307"
"2023-04-05","05 Apr 2023","62246"
"2023-04-06","06 Apr 2023","60428"
"2023-04-11","11 Apr 2023","65884"
"2023-04-12","12 Apr 2023","67556"
"2023-04-13","13 Apr 2023","63211"
"2023-04-14","14 Apr 2023","59787"
"2023-04-17","17 Apr 2023","63547"
"2023-04-18","18 Apr 2023","68036"
"2023-04-19","19 Apr 2023","64902"
"2023-04-20","20 Apr 2023","62856"
"2023-04-21","21 Apr 2023","59794"
"2023-04-24","24 Apr 2023","59736"
"2023-04-25","25 Apr 2023","62812"
"2023-04-26","26 Apr 2023","61905"
"2023-04-27","27 Apr 2023","57355"
"2023-04-28","28 Apr 2023","51996"
"2023-05-02","02 May 2023","65823"
"2023-05-03","03 May 2023","67244"
"2023-05-04","04 May 2023","72042"
"2023-05-05","05 May 2023","59669"
"2023-05-08","08 May 2023","60288"
"2023-05-09","09 May 2023","71757"
"2023-05-10","10 May 2023","73385"
"2023-05-11","11 May 2023","73512"
"2023-05-12","12 May 2023","69524"
"2023-05-15","15 May 2023","69394"
"2023-05-16","16 May 2023","66147"
"2023-05-17","17 May 2023","51541"
"2023-05-18","18 May 2023","47245"
"2023-05-19","19 May 2023","60448"
"2023-05-22","22 May 2023","66982"
"2023-05-23","23 May 2023","64741"
"2023-05-24","24 May 2023","63786"
"2023-05-25","25 May 2023","67877"
"2023-05-26","26 May 2023","45100"
"2023-05-29","29 May 2023","38105"
"2023-05-30","30 May 2023","67350"
"2023-05-31","31 May 2023","65465"
"2023-06-01","01 Jun 2023","68127"
"2023-06-02","02 Jun 2023","63724"
"2023-06-05","05 Jun 2023","67520"
"2023-06-06","06 Jun 2023","66595"
"2023-06-07","07 Jun 2023","61270"
"2023-06-08","08 Jun 2023","57060"
"2023-06-09","09 Jun 2023","60299"
"2023-06-12","12 Jun 2023","65206"
"2023-06-13","13 Jun 2023","63013"
"2023-06-14","14 Jun 2023","62361"
"2023-06-15","15 Jun 2023","63486"
"2023-06-16","16 Jun 2023","61559"
"2023-06-19","19 Jun 2023","68345"
"2023-06-20","20 Jun 2023","68151"
"2023-06-21","21 Jun 2023","68888"
"2023-06-22","22 Jun 2023","66147"
"2023-06-23","23 Jun 2023","63330"
"2023-06-26","26 Jun 2023","66302"
"2023-06-27","27 Jun 2023","44339"
"2023-06-28","28 Jun 2023","62175"
"2023-06-29","29 Jun 2023","59039"
"2023-06-30","30 Jun 2023","54440"
"2023-07-03","03 Jul 2023","71115"
"2023-07-04","04 Jul 2023","70015"
"2023-07-05","05 Jul 2023","65707"
"2023-07-06","06 Jul 2023","60693"
"2023-07-07","07 Jul 2023","58522"
"2023-07-10","10 Jul 2023","59602"
"2023-07-11","11 Jul 2023","59026"
"2023-07-12","12 Jul 2023","60154"
"2023-07-13","13 Jul 2023","58592"
"2023-07-14","14 Jul 2023","59950"
"2023-07-17","17 Jul 2023","64591"
"2023-07-18","18 Jul 2023","66299"
"2023-07-19","19 Jul 2023","66284"
"2023-07-20","20 Jul 2023","62567"
"2023-07-21","21 Jul 2023","58871"
"2023-07-24","24 Jul 2023","62607"
"2023-07-25","25 Jul 2023","62865"
"2023-07-26","26 Jul 2023","62277"
"2023-07-27","27 Jul 2023","56915"
"2023-07-28","28 Jul 2023","55643"
"2023-07-31","31 Jul 2023","55532"
"2023-08-01","01 Aug 2023","67737"
"2023-08-02","02 Aug 2023","66373"
"2023-08-03","03 Aug 2023","59030"
"2023-08-04","04 Aug 2023","57367"
"2023-08-07","07 Aug 2023","63710"
"2023-08-08","08 Aug 2023","63032"
"2023-08-09","09 Aug 2023","66877"
"2023-08-10","10 Aug 2023","61856"
"2023-08-11","11 Aug 2023","60340"
"2023-08-14","14 Aug 2023","52135"
"2023-08-15","15 Aug 2023","49828"
"2023-08-16","16 Aug 2023","60308"
"2023-08-17","17 Aug 2023","62347"
"2023-08-18","18 Aug 2023","60583"
"2023-08-21","21 Aug 2023","63692"
"2023-08-22","22 Aug 2023","63994"
"2023-08-23","23 Aug 2023","66859"
"2023-08-24","24 Aug 2023","68455"
"2023-08-25","25 Aug 2023","57472"
"2023-08-28","28 Aug 2023","54082"
"2023-08-29","29 Aug 2023","59246"
"2023-08-30","30 Aug 2023","58209"
"2023-08-31","31 Aug 2023","51607"
"2023-09-01","01 Sep 2023","63929"
"2023-09-04","04 Sep 2023","61244"
"2023-09-05","05 Sep 2023","56037"
"2023-09-06","06 Sep 2023","56487"
"2023-09-07","07 Sep 2023","57676"
"2023-09-08","08 Sep 2023","56720"
"2023-09-11","11 Sep 2023","60766"
"2023-09-12","12 Sep 2023","60317"
"2023-09-13","13 Sep 2023","59384"
"2023-09-14","14 Sep 2023","58402"
"2023-09-15","15 Sep 2023","61884"
"2023-09-18","18 Sep 2023","62423"
"2023-09-19","19 Sep 2023","61995"
"2023-09-20","20 Sep 2023","66589"
"2023-09-21","21 Sep 2023","58631"
"2023-09-22","22 Sep 2023","56917"
"2023-09-25","25 Sep 2023","61800"
"2023-09-26","26 Sep 2023","59418"
"2023-09-27","27 Sep 2023","57118"
"2023-09-28","28 Sep 2023","56140"
"2023-09-29","29 Sep 2023","46409"
"2023-10-02","02 Oct 2023","58997"
"2023-10-03","03 Oct 2023","58245"
"2023-10-04","04 Oct 2023","58453"
"2023-10-05","05 Oct 2023","60302"
"2023-10-06","06 Oct 2023","64631"
"2023-10-09","09 Oct 2023","65601"
"2023-10-10","10 Oct 2023","62649"
"2023-10-11","11 Oct 2023","60959"
"2023-10-12","12 Oct 2023","60525"
"2023-10-13","13 Oct 2023","58666"
"2023-10-16","16 Oct 2023","59859"
"2023-10-17","17 Oct 2023","59751"
"2023-10-18","18 Oct 2023","58447"
"2023-10-19","19 Oct 2023","56304"
"2023-10-20","20 Oct 2023","54814"
"2023-10-23","23 Oct 2023","57204"
"2023-10-24","24 Oct 2023","57841"
"2023-10-25","25 Oct 2023","57445"
"2023-10-26","26 Oct 2023","56466"
"2023-10-27","27 Oct 2023","55979"
"2023-10-30","30 Oct 2023","55708"
"2023-10-31","31 Oct 2023","43203"
"2023-11-01","01 Nov 2023","53935"
"2023-11-02","02 Nov 2023","62688"
