"DATE","TIME PERIOD","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)"
"2020-05-06","06 May 2020","49616"
"2020-05-07","07 May 2020","32961"
"2020-05-08","08 May 2020","35476"
"2020-05-11","11 May 2020","48914"
"2020-05-12","12 May 2020","47105"
"2020-05-13","13 May 2020","47498"
"2020-05-14","14 May 2020","45901"
"2020-05-15","15 May 2020","44086"
"2020-05-18","18 May 2020","46151"
"2020-05-19","19 May 2020","44659"
"2020-05-20","20 May 2020","32084"
"2020-05-21","21 May 2020","34454"
"2020-05-22","22 May 2020","39461"
"2020-05-25","25 May 2020","41311"
"2020-05-26","26 May 2020","37891"
"2020-05-27","27 May 2020","43110"
"2020-05-28","28 May 2020","41930"
"2020-05-29","29 May 2020","29159"
"2020-06-01","01 Jun 2020","30109"
"2020-06-02","02 Jun 2020","43494"
"2020-06-03","03 Jun 2020","43142"
"2020-06-04","04 Jun 2020","42211"
"2020-06-05","05 Jun 2020","39470"
"2020-06-08","08 Jun 2020","37691"
"2020-06-09","09 Jun 2020","45690"
"2020-06-10","10 Jun 2020","35280"
"2020-06-11","11 Jun 2020","35940"
"2020-06-12","12 Jun 2020","43742"
"2020-06-15","15 Jun 2020","48235"
"2020-06-16","16 Jun 2020","38279"
"2020-06-17","17 Jun 2020","40038"
"2020-06-18","18 Jun 2020","38042"
"2020-06-19","19 Jun 2020","40936"
"2020-06-22","22 Jun 2020","41682"
"2020-06-23","23 Jun 2020","38346"
"2020-06-24","24 Jun 2020","37257"
"2020-06-25","25 Jun 2020","32993"
"2020-06-26","26 Jun 2020","32608"
"2020-06-29","29 Jun 2020","35798"
"2020-06-30","30 Jun 2020","42421"
"2020-07-01","01 Jul 2020","42883"
"2020-07-02","02 Jul 2020","43047"
"2020-07-03","03 Jul 2020","36435"
"2020-07-06","06 Jul 2020","42383"
"2020-07-07","07 Jul 2020","42574"
"2020-07-08","08 Jul 2020","40892"
"2020-07-09","09 Jul 2020","40828"
"2020-07-10","10 Jul 2020","43774"
"2020-07-13","13 Jul 2020","44937"
"2020-07-14","14 Jul 2020","41079"
"2020-07-15","15 Jul 2020","45658"
"2020-07-16","16 Jul 2020","52279"
"2020-07-17","17 Jul 2020","45118"
"2020-07-20","20 Jul 2020","44329"
"2020-07-21","21 Jul 2020","51379"
"2020-07-22","22 Jul 2020","45215"
"2020-07-23","23 Jul 2020","44557"
"2020-07-24","24 Jul 2020","45542"
"2020-07-27","27 Jul 2020","44712"
"2020-07-28","28 Jul 2020","45801"
"2020-07-29","29 Jul 2020","48777"
"2020-07-30","30 Jul 2020","43398"
"2020-07-31","31 Jul 2020","37164"
"2020-08-03","03 Aug 2020","43859"
"2020-08-04","04 Aug 2020","44663"
"2020-08-05","05 Aug 2020","46956"
"2020-08-06","06 Aug 2020","47869"
"2020-08-07","07 Aug 2020","47336"
"2020-08-10","10 Aug 2020","13472"
"2020-08-11","11 Aug 2020","43477"
"2020-08-12","12 Aug 2020","41791"
"2020-08-13","13 Aug 2020","41257"
"2020-08-14","14 Aug 2020","28873"
"2020-08-17","17 Aug 2020","41656"
"2020-08-18","18 Aug 2020","41888"
"2020-08-19","19 Aug 2020","41807"
"2020-08-20","20 Aug 2020","42247"
"2020-08-21","21 Aug 2020","42886"
"2020-08-24","24 Aug 2020","43318"
"2020-08-25","25 Aug 2020","43339"
"2020-08-26","26 Aug 2020","40407"
"2020-08-27","27 Aug 2020","39089"
"2020-08-28","28 Aug 2020","33504"
"2020-08-31","31 Aug 2020","32370"
"2020-09-01","01 Sep 2020","40236"
"2020-09-02","02 Sep 2020","40105"
"2020-09-03","03 Sep 2020","32988"
"2020-09-04","04 Sep 2020","39544"
"2020-09-07","07 Sep 2020","42578"
"2020-09-08","08 Sep 2020","42008"
"2020-09-09","09 Sep 2020","41833"
"2020-09-10","10 Sep 2020","42113"
"2020-09-11","11 Sep 2020","41575"
"2020-09-14","14 Sep 2020","45493"
"2020-09-15","15 Sep 2020","49639"
"2020-09-16","16 Sep 2020","44937"
"2020-09-17","17 Sep 2020","43702"
"2020-09-18","18 Sep 2020","42867"
"2020-09-21","21 Sep 2020","40540"
"2020-09-22","22 Sep 2020","40678"
"2020-09-23","23 Sep 2020","40080"
"2020-09-24","24 Sep 2020","38570"
"2020-09-25","25 Sep 2020","35290"
"2020-09-28","28 Sep 2020","39761"
"2020-09-29","29 Sep 2020","40004"
"2020-09-30","30 Sep 2020","42802"
"2020-10-01","01 Oct 2020","38795"
"2020-10-02","02 Oct 2020","44717"
"2020-10-05","05 Oct 2020","45491"
"2020-10-06","06 Oct 2020","46880"
"2020-10-07","07 Oct 2020","45038"
"2020-10-08","08 Oct 2020","43611"
"2020-10-09","09 Oct 2020","46832"
"2020-10-12","12 Oct 2020","49495"
"2020-10-13","13 Oct 2020","48630"
"2020-10-14","14 Oct 2020","49436"
"2020-10-15","15 Oct 2020","48277"
"2020-10-16","16 Oct 2020","45685"
"2020-10-19","19 Oct 2020","46321"
"2020-10-20","20 Oct 2020","46346"
"2020-10-21","21 Oct 2020","44468"
"2020-10-22","22 Oct 2020","43986"
"2020-10-23","23 Oct 2020","42148"
"2020-10-26","26 Oct 2020","38484"
"2020-10-27","27 Oct 2020","46546"
"2020-10-28","28 Oct 2020","45957"
"2020-10-29","29 Oct 2020","44572"
"2020-10-30","30 Oct 2020","38692"
"2020-11-02","02 Nov 2020","50126"
"2020-11-03","03 Nov 2020","51485"
"2020-11-04","04 Nov 2020","48085"
"2020-11-05","05 Nov 2020","45919"
"2020-11-06","06 Nov 2020","45667"
"2020-11-09","09 Nov 2020","47922"
"2020-11-10","10 Nov 2020","43935"
"2020-11-11","11 Nov 2020","43087"
"2020-11-12","12 Nov 2020","43766"
"2020-11-13","13 Nov 2020","43586"
"2020-11-16","16 Nov 2020","45524"
"2020-11-17","17 Nov 2020","45611"
"2020-11-18","18 Nov 2020","43786"
"2020-11-19","19 Nov 2020","40768"
"2020-11-20","20 Nov 2020","40305"
"2020-11-23","23 Nov 2020","42228"
"2020-11-24","24 Nov 2020","41815"
"2020-11-25","25 Nov 2020","43085"
"2020-11-26","26 Nov 2020","44917"
"2020-11-27","27 Nov 2020","41913"
"2020-11-30","30 Nov 2020","40942"
"2020-12-01","01 Dec 2020","44545"
"2020-12-02","02 Dec 2020","41933"
"2020-12-03","03 Dec 2020","42274"
"2020-12-04","04 Dec 2020","46260"
"2020-12-07","07 Dec 2020","45966"
"2020-12-08","08 Dec 2020","23572"
"2020-12-09","09 Dec 2020","47942"
"2020-12-10","10 Dec 2020","46985"
"2020-12-11","11 Dec 2020","48264"
"2020-12-14","14 Dec 2020","47016"
"2020-12-15","15 Dec 2020","49858"
"2020-12-16","16 Dec 2020","42621"
"2020-12-17","17 Dec 2020","40024"
"2020-12-18","18 Dec 2020","42277"
"2020-12-21","21 Dec 2020","44227"
"2020-12-22","22 Dec 2020","43116"
"2020-12-23","23 Dec 2020","32315"
"2020-12-24","24 Dec 2020","22881"
"2020-12-28","28 Dec 2020","27521"
"2020-12-29","29 Dec 2020","38688"
"2020-12-30","30 Dec 2020","36560"
"2020-12-31","31 Dec 2020","19726"
"2021-01-04","04 Jan 2021","46666"
"2021-01-05","05 Jan 2021","46654"
"2021-01-06","06 Jan 2021","44337"
"2021-01-07","07 Jan 2021","43141"
"2021-01-08","08 Jan 2021","42240"
"2021-01-11","11 Jan 2021","45374"
"2021-01-12","12 Jan 2021","43161"
"2021-01-13","13 Jan 2021","44392"
"2021-01-14","14 Jan 2021","44990"
"2021-01-15","15 Jan 2021","49644"
"2021-01-18","18 Jan 2021","52184"
"2021-01-19","19 Jan 2021","49555"
"2021-01-20","20 Jan 2021","51882"
"2021-01-21","21 Jan 2021","48938"
"2021-01-22","22 Jan 2021","46465"
"2021-01-25","25 Jan 2021","46390"
"2021-01-26","26 Jan 2021","52859"
"2021-01-27","27 Jan 2021","43358"
"2021-01-28","28 Jan 2021","42151"
"2021-01-29","29 Jan 2021","35904"
"2021-02-01","01 Feb 2021","41743"
"2021-02-02","02 Feb 2021","44042"
"2021-02-03","03 Feb 2021","45048"
"2021-02-04","04 Feb 2021","44059"
"2021-02-05","05 Feb 2021","42517"
"2021-02-08","08 Feb 2021","42404"
"2021-02-09","09 Feb 2021","43270"
"2021-02-10","10 Feb 2021","41918"
"2021-02-11","11 Feb 2021","43139"
"2021-02-12","12 Feb 2021","43242"
"2021-02-15","15 Feb 2021","43072"
"2021-02-16","16 Feb 2021","41493"
"2021-02-17","17 Feb 2021","41073"
"2021-02-18","18 Feb 2021","41352"
"2021-02-19","19 Feb 2021","41628"
"2021-02-22","22 Feb 2021","41862"
